Word	Lemma	PoS	Corrected lemma
কাঁদায়	কাঁদা	বিশেষ্য	
কাঁদাকে	কাঁদা	বিশেষ্য	
কামরাটি	কামরা	বিশেষ্য	
কামরাটা	কামরা	বিশেষ্য	
কামরাতে	কামরা	বিশেষ্য	
কামরায়	কামরা	বিশেষ্য	
কামরার	কামরা	বিশেষ্য	
কখনো	কখন	বিশেষ্য	
কখনই	কখন	বিশেষ্য	
কখনোই	কখন	বিশেষ্য	
কচুতে	কচু	বিশেষ্য	
কচুটি	কচু	বিশেষ্য	
কচুটা	কচু	বিশেষ্য	
কচুর	কচু	বিশেষ্য	
কচুই	কচু	বিশেষ্য	
কচুটাতে	কচু	বিশেষ্য	
কচুকে	কচু	বিশেষ্য	
কাছিমে	কাছিম	বিশেষ্য	
কাছিমটি	কাছিম	বিশেষ্য	
কাছিমটা	কাছিম	বিশেষ্য	
কাছিমকে	কাছিম	বিশেষ্য	
কাছিমের	কাছিম	বিশেষ্য	
কড়াইতে	কড়াই	বিশেষ্য	
কড়াইটা	কড়াই	বিশেষ্য	
কড়াইটি	কড়াই	বিশেষ্য	
কড়াইকে	কড়াই	বিশেষ্য	
কদমই	কদম	বিশেষ্য	
কদমে	কদম	বিশেষ্য	
কদমের	কদম	বিশেষ্য	
কদমটি	কদম	বিশেষ্য	
কদমটা	কদম	বিশেষ্য	
কদমটির	কদম	বিশেষ্য	
কাটার	কাটা	বিশেষ্য	
কাটাতে	কাটা	বিশেষ্য	
কটাটা	কাটা	বিশেষ্য	কটা
কাটাই	কাটা	বিশেষ্য	
কনের	কনে	বিশেষ্য	
কনেকে	কনে	বিশেষ্য	
কনেদের	কনে	বিশেষ্য	
কুমারীকে	কুমারী	বিশেষ্য	
কুমারীদের	কুমারী	বিশেষ্য	
কুমারীরা	কুমারী	বিশেষ্য	
কুমারীই	কুমারী	বিশেষ্য	
কপালে	কপাল	বিশেষ্য	
কপালকে	কপাল	বিশেষ্য	
কপালটা	কপাল	বিশেষ্য	
কপালটায়	কপাল	বিশেষ্য	
কপালের	কপাল	বিশেষ্য	
কফে	কফ	বিশেষ্য	
কফের	কফ	বিশেষ্য	
কফই	কফ	বিশেষ্য	
কফটায়	কফ	বিশেষ্য	
কফকে	কফ	বিশেষ্য	
কফিনে	কফিন	বিশেষ্য	
কফিনটি	কফিন	বিশেষ্য	
কফিনটা	কফিন	বিশেষ্য	
কফিনই	কফিন	বিশেষ্য	
কফিনের	কফিন	বিশেষ্য	
কাশিটা	কাশি	বিশেষ্য	
কাশির	কাশি	বিশেষ্য	
কাশিতে	কাশি	বিশেষ্য	
কাশিটার	কাশি	বিশেষ্য	
কবুতরে	কবুতর	বিশেষ্য	
কবুতরের	কবুতর	বিশেষ্য	
কবুতরটি	কবুতর	বিশেষ্য	
কবুতরটা	কবুতর	বিশেষ্য	
কবুতরকে	কবুতর	বিশেষ্য	
কবিতাটা	কবিতা	বিশেষ্য	
কবিতাটি	কবিতা	বিশেষ্য	
কবিতাকে	কবিতা	বিশেষ্য	
কবিতাই	কবিতা	বিশেষ্য	
কবিতার	কবিতা	বিশেষ্য	
কবিরাজকে	কবিরাজ	বিশেষ্য	
কবিরাজের	কবিরাজ	বিশেষ্য	
কবিরাজরা	কবিরাজ	বিশেষ্য	
কবিরাজদের	কবিরাজ	বিশেষ্য	
কবিরাজই	কবিরাজ	বিশেষ্য	
কলসে	কলস	বিশেষ্য	
কলসটা	কলস	বিশেষ্য	
কলসের	কলস	বিশেষ্য	
কলসটি	কলস	বিশেষ্য	
কলসটার	কলস	বিশেষ্য	
কয়েদীর	কয়েদী	বিশেষ্য	
কয়েদীকে	কয়েদী	বিশেষ্য	
কয়েদীরে	কয়েদী	বিশেষ্য	
কয়েদীই	কয়েদী	বিশেষ্য	
কলেরায়	কলেরা	বিশেষ্য	
কলেরাতে	কলেরা	বিশেষ্য	
কলেরার	কলেরা	বিশেষ্য	
কলেরাকে	কলেরা	বিশেষ্য	
কলেরাই	কলেরা	বিশেষ্য	
কোদালটায়	কোদাল	বিশেষ্য	
কোদালকে	কোদাল	বিশেষ্য	
কোদালে	কোদাল	বিশেষ্য	
কোদালটা	কোদাল	বিশেষ্য	
কোদালটি	কোদাল	বিশেষ্য	
কেঁচোকে	কেঁচো	বিশেষ্য	
কেঁচোটা	কেঁচো	বিশেষ্য	
কেঁচোটি	কেঁচো	বিশেষ্য	
কেঁচোতে	কেঁচো	বিশেষ্য	
কেঁচোর	কেঁচো	বিশেষ্য	
কোকিলকে	কোকিল	বিশেষ্য	
কোকিললের	কোকিল	বিশেষ্য	
কোকিলটা	কোকিল	বিশেষ্য	
কোকিলটি	কোকিল	বিশেষ্য	
কোকিলদের	কোকিল	বিশেষ্য	
কোণকে	কোণ	বিশেষ্য	
কোণটি	কোণ	বিশেষ্য	
কোণটা	কোণ	বিশেষ্য	
কোণই	কোণ	বিশেষ্য	
কেবিনে	কেবিন	বিশেষ্য	
কেবিনকে	কেবিন	বিশেষ্য	
কেবিনটি	কেবিন	বিশেষ্য	
কেবিনটা	কেবিন	বিশেষ্য	
কেবিনের	কেবিন	বিশেষ্য	
কাঁকড়ার	কাঁকড়া	বিশেষ্য	
কাঁকড়াতে	কাঁকড়া	বিশেষ্য	
কাঁকড়াটা	কাঁকড়া	বিশেষ্য	
কাঁকড়াটি	কাঁকড়া	বিশেষ্য	
কাঁকড়াকে	কাঁকড়া	বিশেষ্য	
কাঁকড়ায়	কাঁকড়া	বিশেষ্য	
কচ্ছপটা	কচ্ছপ	বিশেষ্য	
কচ্ছপটি	কচ্ছপ	বিশেষ্য	
কচ্ছপের	কচ্ছপ	বিশেষ্য	
কচ্ছপকে	কচ্ছপ	বিশেষ্য	
কচ্ছপদের	কচ্ছপ	বিশেষ্য	
কুমিরের	কুমির	বিশেষ্য	
কুমিরটা	কুমির	বিশেষ্য	
কুমিরটি	কুমির	বিশেষ্য	
কুমিরকে	কুমির	বিশেষ্য	
কুমিরদের	কুমির	বিশেষ্য	
কুমিরটাকে	কুমির	বিশেষ্য	
খানাতে	খানা	বিশেষ্য	
খানাটা	খানা	বিশেষ্য	
খাঁচাতে	খাঁচা	বিশেষ্য	
খাঁচাটা	খাঁচা	বিশেষ্য	
খাঁচাটি	খাঁচা	বিশেষ্য	
খাঁচার	খাঁচা	বিশেষ্য	
খাঁচাকে	খাঁচা	বিশেষ্য	
খেলনাটি	খেলনা	বিশেষ্য	
খেলনাতে	খেলনা	বিশেষ্য	
খেলনাটা	খেলনা	বিশেষ্য	
খেলনার	খেলনা	বিশেষ্য	
খেলনাকে	খেলনা	বিশেষ্য	
খালার	খালা	বিশেষ্য	
খালাকে	খালা	বিশেষ্য	
খালাই	খালা	বিশেষ্য	
খালাদের	খালা	বিশেষ্য	
খালারা	খালা	বিশেষ্য	
খেয়ালটা	খেয়াল	বিশেষ্য	
খেয়ালই	খেয়াল	বিশেষ্য	
খাঁড়ে	খাঁড়	বিশেষ্য	
খাঁড়ের	খাঁড়	বিশেষ্য	
খাঁড়টা	খাঁড়	বিশেষ্য	
খাঁড়ই	খাঁড়	বিশেষ্য	
খাঁড়ক	খাঁড়	বিশেষ্য	
খোলার	খোলা	বিশেষ্য	
খোলাই	খোলা	বিশেষ্য	
খোপাতে	খোপা	বিশেষ্য	
খোপার	খোপা	বিশেষ্য	
খোপাটি	খোপা	বিশেষ্য	
খোপাটা	খোপা	বিশেষ্য	
খোলসটা	খোলস	বিশেষ্য	
খোলসটি	খোলস	বিশেষ্য	
খোলসে	খোলস	বিশেষ্য	
খোলসের	খোলস	বিশেষ্য	
খোলসই	খোলস	বিশেষ্য	
খোরাকে	খোরাক	বিশেষ্য	
খোরাকের	খোরাক	বিশেষ্য	
খেচরটা	খেচর	বিশেষ্য	
খেচরটি	খেচর	বিশেষ্য	
খেচরকে	খেচর	বিশেষ্য	
খেচররা	খেচর	বিশেষ্য	
খেচরদের	খেচর	বিশেষ্য	
খুরটা	খুর	বিশেষ্য	
খুরটি	খুর	বিশেষ্য	
খুরে	খুর	বিশেষ্য	
খুরের	খুর	বিশেষ্য	
খুরই	খুর	বিশেষ্য	
খোপে	খোপ	বিশেষ্য	
খোপের	খোপ	বিশেষ্য	
খোপটি	খোপ	বিশেষ্য	
খোপটা	খোপ	বিশেষ্য	
খোপটার	খোপ	বিশেষ্য	
খোপটিতে	খোপ	বিশেষ্য	
খিলাফে	খিলাফ	বিশেষ্য	
খিলাফটা	খিলাফ	বিশেষ্য	
খিলাফটি	খিলাফ	বিশেষ্য	
খিলাফের	খিলাফ	বিশেষ্য	
খিলাফকে	খিলাফ	বিশেষ্য	
খিলালে	খিলাল	বিশেষ্য	
খিলালের	খিলাল	বিশেষ্য	
খিলালটা	খিলাল	বিশেষ্য	
খিলালটি	খিলাল	বিশেষ্য	
খিলালই	খিলাল	বিশেষ্য	
খিলালটার	খিলাল	বিশেষ্য	
খিলানে	খিলান	বিশেষ্য	
খিলানই	খিলান	বিশেষ্য	
খিলানটি	খিলান	বিশেষ্য	
খিলানটা	খিলান	বিশেষ্য	
খিলানের	খিলান	বিশেষ্য	
খিলানটায়	খিলান	বিশেষ্য	
খলিফার	খলিফা	বিশেষ্য	
খলিফাকে	খলিফা	বিশেষ্য	
খলিফাদের	খলিফা	বিশেষ্য	
খলিফারা	খলিফা	বিশেষ্য	
খিদার	খিদা	বিশেষ্য	
খিদাই	খিদা	বিশেষ্য	
খরার	খরা	বিশেষ্য	
খরাতে	খরা	বিশেষ্য	
খরচে	খরচ	বিশেষ্য	
খরচই	খরচ	বিশেষ্য	
খরচটা	খরচ	বিশেষ্য	
খায়েশে	খায়েশ	বিশেষ্য	
খায়েশটা	খায়েশ	বিশেষ্য	
খায়েশই	খায়েশ	বিশেষ্য	
খামচির	খামচি	বিশেষ্য	
খামচিটা	খামচি	বিশেষ্য	
খামচিটার	খামচি	বিশেষ্য	
খাটে	খাট	বিশেষ্য	
খাটের	খাট	বিশেষ্য	
খাটই	খাট	বিশেষ্য	
খাটটার	খাট	বিশেষ্য	
খাটটা	খাট	বিশেষ্য	
খাটটি	খাট	বিশেষ্য	
খাটটির	খাট	বিশেষ্য	
খন্ডে	খন্ড	বিশেষ্য	
খন্ডের	খন্ড	বিশেষ্য	
খন্ডটি	খন্ড	বিশেষ্য	
খন্ডকে	খন্ড	বিশেষ্য	
খন্ডটিতে	খন্ড	বিশেষ্য	
খরচের	খরচ	বিশেষ্য	
খরগোশকে	খরগোশ	বিশেষ্য	
খরগোশের	খরগোশ	বিশেষ্য	
খরগোশটা	খরগোশ	বিশেষ্য	
খরগোশটি	খরগোশ	বিশেষ্য	
খরগোশটার	খরগোশ	বিশেষ্য	
খরগোশটির	খরগোশ	বিশেষ্য	
খরগোশদের	খরগোশ	বিশেষ্য	
খতমে	খতম	বিশেষ্য	
খতমের	খতম	বিশেষ্য	
খতমকে	খতম	বিশেষ্য	
খতমই	খতম	বিশেষ্য	
খতমেই	খতম	বিশেষ্য	
খড়ে	খড়	বিশেষ্য	
খড়ের	খড়	বিশেষ্য	
খড়ই	খড়	বিশেষ্য	
খড়ির	খড়	বিশেষ্য	
খড়েতে	খড়	বিশেষ্য	
খইয়ে	খই	বিশেষ্য	
খইয়ের	খই	বিশেষ্য	
খেই	খই	বিশেষ্য	খেই
খইতে	খই	বিশেষ্য	
খইতেই	খই	বিশেষ্য	
খামে	খাম	বিশেষ্য	
খামের	খাম	বিশেষ্য	
খামই	খাম	বিশেষ্য	
খামতেই	খাম	বিশেষ্য	
খামেতেই	খাম	বিশেষ্য	
খামারটি	খামার	বিশেষ্য	
খামারে	খামার	বিশেষ্য	
খামারের	খামার	বিশেষ্য	
খামারটিকে	খামার	বিশেষ্য	
খামারটা	খামার	বিশেষ্য	
খালে	খাল	বিশেষ্য	
খালের	খাল	বিশেষ্য	
খালই	খাল	বিশেষ্য	
খালটা	খাল	বিশেষ্য	
খালটাতে	খাল	বিশেষ্য	
খতিয়ে	খাত	বিশেষ্য	
খাতের	খাত	বিশেষ্য	
খাতই	খাত	বিশেষ্য	
খাতেই	খাত	বিশেষ্য	
খাতেরই	খাত	বিশেষ্য	
খড়িটা	খড়ি	বিশেষ্য	
খড়িতে	খড়ি	বিশেষ্য	
খড়ির	খড়ি	বিশেষ্য	খড়ি
খড়িই	খড়ি	বিশেষ্য	
খড়িতেই	খড়ি	বিশেষ্য	
খুশিই	খুশি	বিশেষ্য	
খুশিতে	খুশি	বিশেষ্য	
খুশিকে	খুশি	বিশেষ্য	
খুশিতো	খুশি	বিশেষ্য	
খুশির	খুশি	বিশেষ্য	
খুকুকে	খুকু	বিশেষ্য	
খুকুরে	খুকু	বিশেষ্য	
খুকুর	খুকু	বিশেষ্য	
খুকুটা	খুকু	বিশেষ্য	
খুকুই	খুকু	বিশেষ্য	
খনিতে	খনি	বিশেষ্য	
খনির	খনি	বিশেষ্য	
খনিটা	খনি	বিশেষ্য	
খনিটাতে	খনি	বিশেষ্য	
খনিই	খনি	বিশেষ্য	
খিচুড়ির	খিচুড়ি	বিশেষ্য	
খিচুড়িতে	খিচুড়ি	বিশেষ্য	
খিচুড়িটা	খিচুড়ি	বিশেষ্য	
খাটাশের	খাটাশ	বিশেষ্য	
খাটাশই	খাটাশ	বিশেষ্য	
খটাশটা	খাটাশ	বিশেষ্য	
খাটাশটি	খাটাশ	বিশেষ্য	
খাটাশটাকে	খাটাশ	বিশেষ্য	
খাদ্যর	খাদ্য	বিশেষ্য	
খাদ্যকে	খাদ্য	বিশেষ্য	
খাদ্যের	খাদ্য	বিশেষ্য	
খাদ্যতে	খাদ্য	বিশেষ্য	
খাদ্যই	খাদ্য	বিশেষ্য	
খেলবে	খেলা	ক্রিয়া	
খেলেছে	খেলা	ক্রিয়া	
খেলেছিল	খেলা	ক্রিয়া	
খেলেছিলাম	খেলা	ক্রিয়া	
খলেছেন	খেলা	ক্রিয়া	
খেলেছ	খেলা	ক্রিয়া	
খেলতে	খেলা	ক্রিয়া	
খেলতো	খেলা	ক্রিয়া	
খেলবো	খেলা	ক্রিয়া	
খাওয়াতে	খাওয়া	ক্রিয়া	
খাওয়ার	খাওয়া	ক্রিয়া	
খাওয়ান	খাওয়া	ক্রিয়া	
খাওনোর	খাওয়া	ক্রিয়া	
খাবে	খাওয়া	ক্রিয়া	
খাচ্ছি	খাওয়া	ক্রিয়া	
খেয়েছিলেন	খাওয়া	ক্রিয়া	
খেয়েছি	খাওয়া	ক্রিয়া	
খাবেন	খাওয়া	ক্রিয়া	
খাওয়ানো	খাওয়া	ক্রিয়া	
খাটোর	খাটো	বিশেষণ	
খাটোতে	খাটো	বিশেষণ	
খাটোই	খাটো	বিশেষণ	
খাটোত	খাটো	বিশেষণ	
খাটতো	খাটো	বিশেষণ	খাটা
খোকার	খোকা	বিশেষ্য	
খোকাকে	খোকা	বিশেষ্য	
খোকাই	খোকা	বিশেষ্য	
খোকারে	খোকা	বিশেষ্য	
খোকাটা	খোকা	বিশেষ্য	
খোসাটা	খোসা	বিশেষ্য	
খোসার	খোসা	বিশেষ্য	
খোসায়	খোসা	বিশেষ্য	
খোসাই	খোসা	বিশেষ্য	
খোসাতো	খোসা	বিশেষ্য	
খবরে	খবর	বিশেষ্য	
খবরের	খবর	বিশেষ্য	
খবরটি	খবর	বিশেষ্য	
খবরটা	খবর	বিশেষ্য	
খবরকে	খবর	বিশেষ্য	
খননে	খনন	বিশেষ্য	
খননের	খনন	বিশেষ্য	
খননই	খনন	বিশেষ্য	
খননতো	খনন	বিশেষ্য	
খননকে	খনন	বিশেষ্য	
খাতাটি	খাতা	বিশেষ্য	
খাতার	খাতা	বিশেষ্য	
খাতাই	খাতা	বিশেষ্য	
খাতাটা	খাতা	বিশেষ্য	
খুবই	খুব	ক্রিয়াবিশেষণ	
খুবি	খুব	ক্রিয়াবিশেষণ	খুবি
খুবত	খুব	ক্রিয়াবিশেষণ	খুবত
খুবতো	খুব	ক্রিয়াবিশেষণ	খুবতো
খুবরে	খুব	ক্রিয়াবিশেষণ	খুবরে
খাবারে	খাবার	বিশেষ্য	
খাবারের	খাবার	বিশেষ্য	
খাবারই	খাবার	বিশেষ্য	
খাবাতো	খাবার	বিশেষ্য	
খাবারকে	খাবার	বিশেষ্য	
খালুর	খালু	বিশেষ্য	
খালুকে	খালু	বিশেষ্য	
খালুরা	খালু	বিশেষ্য	
খালুদের	খালু	বিশেষ্য	
খালুই	খালু	বিশেষ্য	
গালে	গাল	বিশেষ্য	
গালি	গাল	বিশেষ্য	গালি
গালই	গাল	বিশেষ্য	
গালটা	গাল	বিশেষ্য	
গালের	গাল	বিশেষ্য	
খেজুরে	খেজুর	বিশেষ্য	
খেজুরের	খেজুর	বিশেষ্য	
খেজুরটা	খেজুর	বিশেষ্য	
খেজুরটি	খেজুর	বিশেষ্য	
খেজুরটির	খেজুর	বিশেষ্য	
ক্ষতির	ক্ষতি	বিশেষ্য	
ক্ষতিতে	ক্ষতি	বিশেষ্য	
ক্ষতিই	ক্ষতি	বিশেষ্য	
ক্ষতিটা	ক্ষতি	বিশেষ্য	
ক্ষতিকে	ক্ষতি	বিশেষ্য	
ক্ষতের	ক্ষত	বিশেষ্য	
ক্ষতে	ক্ষত	বিশেষ্য	
ক্ষতেই	ক্ষত	বিশেষ্য	
ক্ষতই	ক্ষত	বিশেষ্য	
ক্ষয়ে	ক্ষয়	ক্রিয়া	
ক্ষয়ই	ক্ষয়	ক্রিয়া	
ক্ষয়িত	ক্ষয়	ক্রিয়া	ক্ষয়িত
ক্ষয়ের	ক্ষয়	ক্রিয়া	
ক্ষয়কে	ক্ষয়	ক্রিয়া	
ক্ষমাই	ক্ষমা	বিশেষ্য	
ক্ষমাতে	ক্ষমা	বিশেষ্য	
ক্ষমার	ক্ষমা	বিশেষ্য	
ক্ষমায়	ক্ষমা	বিশেষ্য	
ক্ষমাতেই	ক্ষমা	বিশেষ্য	
গালকে	গাল	বিশেষ্য	
গরুর	গরু	বিশেষ্য	
গরুকে	গরু	বিশেষ্য	
গরুদের	গরু	বিশেষ্য	
গরুরা	গরু	বিশেষ্য	
গরুই	গরু	বিশেষ্য	
গুণের	গুণ	বিশেষ্য	
গুণেই	গুণ	বিশেষ্য	
গুণী	গুণ	বিশেষ্য	
গুণই	গুণ	বিশেষ্য	
গুণত	গুণ	বিশেষ্য	
গুণকে	গুণ	বিশেষ্য	
গণে	গণ	বিশেষ্য	
গণের	গণ	বিশেষ্য	
গণকে	গণ	বিশেষ্য	
গণই	গণ	বিশেষ্য	
গাভলাটা	গাভলা	বিশেষ্য	
গাভলাটি	গাভলা	বিশেষ্য	
গাভলাই	গাভলা	বিশেষ্য	
গাভলাতে	গাভলা	বিশেষ্য	
গণ্ডক	গণ্ড	বিশেষ্য	
গণ্ডদের	গণ্ড	বিশেষ্য	
গণ্ডি	গণ্ড	বিশেষ্য	গণ্ডি
গতকালে	গতকাল	বিশেষণ	
গতকালই	গতকাল	বিশেষণ	
গতকালকে	গতকাল	বিশেষণ	
গতকালের	গতকাল	বিশেষণ	
গতকালরে	গতকাল	বিশেষণ	
গতকালেই	গতকাল	বিশেষণ	
গতিই	গতি	বিশেষ্য	
গতিকে	গতি	বিশেষ্য	
গতিতে	গতি	বিশেষ্য	
গতিটা	গতি	বিশেষ্য	
গতির	গতি	বিশেষ্য	
গাভীটা	গাভী	বিশেষ্য	
গাভীর	গাভী	বিশেষ্য	
গাভীই	গাভী	বিশেষ্য	
